ShipmentID,OrderID,Carrier,TrackingNumber,ShipmentDateTime,EstimatedDeliveryDateTime,ActualDeliveryDateTime,ShipmentStatus,IsDelayed,ShippingMethod,ShippingCost
53,55,USPS,9400 7470 6912 8274,2026-01-16 17:42:58,2026-01-23 17:42:58,2026-01-22 17:42:58,Delivered,False,Standard,0.00
54,56,FedEx,86925 77151 10145,2026-01-27 17:36:48,2026-01-31 17:36:48,2026-01-31 17:36:48,Delivered,False,Standard,0.00
55,57,UPS,1Z6215286485962485,2026-01-27 12:56:20,2026-01-31 12:56:20,2026-01-31 12:56:20,Delivered,False,Standard,0.00
56,59,USPS,9400 5979 5894 3742,2026-03-05 07:33:35,2026-03-10 07:33:35,2026-03-10 07:33:35,Delivered,False,Standard,0.00
57,60,FedEx,46906 98979 16993,2026-03-07 15:40:03,2026-03-12 15:40:03,2026-03-11 15:40:03,Delivered,False,Standard,0.00
58,61,USPS,9400 9236 5255 9430,2026-04-05 15:01:20,2026-04-11 15:01:20,2026-04-11 15:01:20,Delivered,False,Standard,0.00
59,62,UPS,1Z1843350204599824,2026-05-01 16:58:53,2026-05-05 16:58:53,2026-05-05 16:58:53,Delivered,False,Standard,0.00
60,63,UPS,1Z2086868536675675,2026-05-13 03:29:10,2026-05-16 03:29:10,2026-05-15 03:29:10,Delivered,False,Standard,0.00
61,64,FedEx,48917 38915 16729,2026-07-07 22:20:48,2026-07-14 22:20:48,2026-07-13 22:20:48,Delivered,False,Standard,0.00
62,65,USPS,9400 3777 1043 5525,2026-07-29 16:23:12,2026-08-03 16:23:12,2026-08-02 16:23:12,Delivered,False,Standard,5.99
63,66,UPS,1Z7552848796030937,2026-08-08 07:05:06,2026-08-10 07:05:06,2026-08-10 07:05:06,Delivered,False,Two-Day,0.00
64,67,UPS,1Z2206360540772286,2023-04-18 17:06:58,2023-04-22 17:06:58,2023-04-26 17:06:58,Delivered,True,Standard,0.00
65,68,FedEx,17515 75455 80272,2023-07-13 06:06:13,2023-07-16 06:06:13,2023-07-15 06:06:13,Delivered,False,Standard,0.00
66,69,FedEx,92424 19234 58955,2023-07-13 00:15:35,2023-07-19 00:15:35,2023-07-19 00:15:35,Delivered,False,Standard,0.00
67,70,UPS,1Z5003105477754275,2023-08-11 09:23:03,2023-08-14 09:23:03,2023-08-14 09:23:03,Delivered,False,Standard,0.00
68,71,USPS,9400 1985 7937 4933,2023-08-22 13:40:26,2023-08-25 13:40:26,2023-08-25 13:40:26,Delivered,False,Standard,0.00
69,72,UPS,1Z4340665386468742,2024-04-24 02:17:29,2024-05-01 02:17:29,2024-04-30 02:17:29,Delivered,False,Standard,0.00
70,73,UPS,1Z3799531464576347,2024-04-27 19:19:34,2024-05-02 19:19:34,2024-05-01 19:19:34,Delivered,False,Standard,0.00
71,74,UPS,1Z7041520541964929,2024-06-07 10:28:31,2024-06-12 10:28:31,2024-06-12 10:28:31,Delivered,False,Standard,0.00
72,75,FedEx,44750 30937 59041,2024-10-02 09:36:46,2024-10-07 09:36:46,2024-10-06 09:36:46,Delivered,False,Standard,0.00
73,76,UPS,1Z3706542184079865,2024-11-27 16:41:46,2024-11-29 16:41:46,2024-11-29 16:41:46,Delivered,False,Two-Day,0.00
74,77,FedEx,15953 38139 53683,2024-12-02 20:12:50,2024-12-05 20:12:50,2024-12-05 20:12:50,Delivered,False,Standard,0.00
75,78,FedEx,26160 68318 45529,2025-04-16 06:06:53,2025-04-18 06:06:53,2025-04-17 06:06:53,Delivered,False,Two-Day,12.99
76,79,UPS,1Z3652995506644638,2025-05-02 19:08:27,2025-05-07 19:08:27,2025-05-07 19:08:27,Delivered,False,Standard,0.00
77,80,UPS,1Z6832584778226989,2025-05-11 07:51:56,2025-05-17 07:51:56,2025-05-16 07:51:56,Delivered,False,Standard,0.00
78,81,FedEx,65408 96535 34143,2025-07-13 17:22:42,2025-07-19 17:22:42,2025-07-18 17:22:42,Delivered,False,Standard,0.00
79,82,UPS,1Z5291514545748298,2025-10-28 10:53:54,2025-11-02 10:53:54,2025-11-01 10:53:54,Delivered,False,Standard,0.00
80,83,UPS,1Z8398289389262804,2025-12-01 17:15:53,2025-12-05 17:15:53,2025-12-05 17:15:53,Delivered,False,Standard,0.00
81,84,USPS,9400 4199 8966 2648,2025-12-19 10:23:30,2025-12-24 10:23:30,2025-12-23 10:23:30,Delivered,False,Standard,0.00
82,85,UPS,1Z5404755279027070,2026-04-15 20:07:01,2026-04-19 20:07:01,2026-04-19 20:07:01,Delivered,False,Standard,0.00
83,86,UPS,1Z5785257885768755,2026-05-27 07:26:04,2026-05-29 07:26:04,2026-05-29 07:26:04,Delivered,False,Two-Day,0.00
84,87,FedEx,41047 73762 54416,2026-07-06 12:13:08,2026-07-11 12:13:08,2026-07-11 12:13:08,Delivered,False,Standard,0.00
85,88,USPS,9400 5403 6920 2011,2026-07-13 13:51:50,2026-07-18 13:51:50,2026-07-18 13:51:50,Delivered,False,Standard,0.00
86,89,UPS,1Z8045862169775102,2024-08-25 04:16:12,2024-08-27 04:16:12,2024-08-29 04:16:12,Delivered,True,Two-Day,0.00
87,90,USPS,9400 5663 8653 4330,2024-08-31 12:30:41,2024-09-03 12:30:41,2024-09-03 12:30:41,Delivered,False,Standard,0.00
88,91,UPS,1Z9898328133243848,2024-09-22 13:46:18,2024-09-24 13:46:18,2024-09-29 13:46:18,Delivered,True,Two-Day,0.00
89,92,UPS,1Z5078542733246024,2024-09-23 20:33:00,2024-09-25 20:33:00,2024-09-25 20:33:00,Delivered,False,Two-Day,0.00
90,93,UPS,1Z2869535021487354,2024-10-18 01:32:01,2024-10-22 01:32:01,2024-10-21 01:32:01,Delivered,False,Standard,0.00
91,94,USPS,9400 7659 7555 7442,2025-02-04 05:37:51,2025-02-08 05:37:51,2025-02-07 05:37:51,Delivered,False,Standard,0.00
92,95,FedEx,28043 71592 54622,2025-02-23 07:30:31,2025-03-02 07:30:31,2025-03-01 07:30:31,Delivered,False,Standard,5.99
93,96,UPS,1Z4688911529309566,2025-02-24 02:39:30,2025-02-26 02:39:30,2025-02-26 02:39:30,Delivered,False,Two-Day,0.00
94,97,USPS,9400 9462 7952 2355,2025-03-10 11:14:14,2025-03-17 11:14:14,2025-03-17 11:14:14,Delivered,False,Standard,0.00
95,98,USPS,9400 7918 6861 3695,2025-03-23 11:16:36,2025-03-27 11:16:36,2025-03-26 11:16:36,Delivered,False,Standard,0.00
96,99,FedEx,46212 28217 77260,2025-03-24 15:36:22,2025-03-26 15:36:22,2025-03-26 15:36:22,Delivered,False,Two-Day,0.00
97,100,UPS,1Z1902693775344133,2025-05-03 17:35:36,2025-05-07 17:35:36,2025-05-06 17:35:36,Delivered,False,Standard,0.00
98,101,FedEx,47864 19300 40804,2025-06-26 17:23:28,2025-06-29 17:23:28,,Lost,False,Standard,5.99
99,102,FedEx,67820 38722 86609,2025-08-11 08:10:59,2025-08-15 08:10:59,2025-08-14 08:10:59,Delivered,False,Standard,5.99
100,103,UPS,1Z8533900056549337,2025-10-26 00:50:52,2025-11-02 00:50:52,2025-11-02 00:50:52,Delivered,False,Standard,0.00
101,104,FedEx,23189 81332 02665,2025-11-06 13:25:25,2025-11-11 13:25:25,2025-11-10 13:25:25,Delivered,False,Standard,0.00
102,106,USPS,9400 5361 9972 3628,2025-12-23 09:47:40,2025-12-29 09:47:40,2025-12-28 09:47:40,Delivered,False,Standard,5.99
103,107,UPS,1Z4212912061642933,2026-02-05 19:05:22,2026-02-07 19:05:22,2026-02-06 19:05:22,Delivered,False,Two-Day,0.00
104,108,UPS,1Z8507323149502591,2026-02-10 17:13:13,2026-02-15 17:13:13,2026-02-14 17:13:13,Delivered,False,Standard,5.99
105,109,FedEx,14999 01705 97149,2026-02-24 13:51:31,2026-03-03 13:51:31,2026-03-03 13:51:31,Delivered,False,Standard,0.00
106,110,USPS,9400 3079 6963 4594,2026-03-08 22:20:42,2026-03-15 22:20:42,2026-03-14 22:20:42,Delivered,False,Standard,0.00
107,111,USPS,9400 7927 6757 2947,2026-04-05 04:13:43,2026-04-11 04:13:43,2026-04-11 04:13:43,Delivered,False,Standard,0.00
108,112,UPS,1Z1495251301638397,2026-04-14 02:20:46,2026-04-18 02:20:46,2026-04-17 02:20:46,Delivered,False,Standard,0.00
109,113,USPS,9400 6304 2607 4896,2026-04-17 13:04:40,2026-04-21 13:04:40,2026-04-20 13:04:40,Delivered,False,Standard,0.00
110,114,UPS,1Z8210530889772991,2026-05-12 13:46:33,2026-05-15 13:46:33,2026-05-14 13:46:33,Delivered,False,Standard,5.99
111,115,FedEx,75593 77062 45550,2026-06-06 19:17:24,2026-06-12 19:17:24,2026-06-11 19:17:24,Delivered,False,Standard,0.00
112,116,USPS,9400 6293 5909 2959,2023-07-06 23:55:51,2023-07-10 23:55:51,2023-07-10 23:55:51,Delivered,False,Standard,0.00
113,117,FedEx,67618 53295 49408,2023-07-13 07:59:22,2023-07-15 07:59:22,2023-07-14 07:59:22,Delivered,False,Two-Day,0.00
114,118,USPS,9400 7954 5053 1657,2023-08-29 11:40:44,2023-09-03 11:40:44,2023-09-02 11:40:44,Delivered,False,Standard,5.99
115,119,UPS,1Z3737363258338592,2023-09-01 11:51:56,2023-09-04 11:51:56,2023-09-04 11:51:56,Delivered,False,Standard,0.00
116,120,USPS,9400 9571 2626 5025,2024-05-31 23:52:52,2024-06-03 23:52:52,2024-06-03 23:52:52,Delivered,False,Standard,0.00
117,121,UPS,1Z3481158344760153,2024-07-17 11:33:32,2024-07-19 11:33:32,2024-07-18 11:33:32,Delivered,False,Two-Day,12.99
118,122,FedEx,34620 93400 15147,2024-09-23 03:09:12,2024-09-28 03:09:12,2024-09-28 03:09:12,Delivered,False,Standard,0.00
119,124,FedEx,26889 94710 72795,2025-03-02 18:29:18,2025-03-09 18:29:18,2025-03-08 18:29:18,Delivered,False,Standard,5.99
120,125,USPS,9400 7940 4122 4453,2025-03-07 05:56:16,2025-03-10 05:56:16,2025-03-10 05:56:16,Delivered,False,Standard,0.00
121,126,USPS,9400 6285 3768 3189,2025-03-27 23:59:40,2025-03-30 23:59:40,2025-03-29 23:59:40,Delivered,False,Standard,0.00
122,127,UPS,1Z1371261194413946,2025-09-26 00:52:42,2025-09-29 00:52:42,2025-09-29 00:52:42,Delivered,False,Standard,0.00
123,128,FedEx,17550 64291 00602,2025-10-20 13:39:14,2025-10-21 13:39:14,2025-10-20 13:39:14,Delivered,False,Next-Day,0.00
124,129,FedEx,56706 39004 42354,2026-01-12 11:10:16,2026-01-17 11:10:16,2026-01-16 11:10:16,Delivered,False,Standard,0.00
125,130,USPS,9400 8591 9633 4085,2026-03-01 17:44:27,2026-03-05 17:44:27,2026-03-04 17:44:27,Delivered,False,Standard,0.00
126,131,UPS,1Z8255717904212238,2026-04-20 05:17:10,2026-04-27 05:17:10,2026-04-27 05:17:10,Delivered,False,Standard,5.99
127,132,UPS,1Z4098563676068199,2026-04-26 20:58:42,2026-04-28 20:58:42,2026-04-27 20:58:42,Delivered,False,Two-Day,0.00
128,133,UPS,1Z3777688148937214,2026-05-21 14:19:38,2026-05-24 14:19:38,2026-05-24 14:19:38,Delivered,False,Standard,5.99
129,134,FedEx,26660 25393 34397,2026-07-08 09:05:02,2026-07-10 09:05:02,2026-07-09 09:05:02,Delivered,False,Two-Day,0.00
130,135,FedEx,52910 36518 57985,2026-07-08 18:44:03,2026-07-10 18:44:03,2026-07-10 18:44:03,Delivered,False,Two-Day,0.00
131,136,FedEx,16280 05444 36108,2026-08-22 06:43:33,2026-08-24 06:43:33,2026-08-23 06:43:33,Delivered,False,Two-Day,12.99
132,137,USPS,9400 3713 5170 3380,2024-07-08 17:27:59,2024-07-15 17:27:59,2024-07-15 17:27:59,Delivered,False,Standard,0.00
133,138,USPS,9400 2643 6878 6378,2025-03-22 14:21:15,2025-03-29 14:21:15,2025-03-28 14:21:15,Delivered,False,Standard,0.00
134,140,UPS,1Z7298880535928171,2025-04-25 02:56:31,2025-04-26 02:56:31,2025-04-26 02:56:31,Delivered,False,Next-Day,0.00
135,141,UPS,1Z1514353829933781,2026-05-10 21:14:40,2026-05-16 21:14:40,2026-05-15 21:14:40,Delivered,False,Standard,0.00
136,142,FedEx,76555 22458 43658,2025-11-14 08:40:49,2025-11-16 08:40:49,2025-11-16 08:40:49,Delivered,False,Two-Day,0.00
137,143,UPS,1Z8105289698919034,2026-02-18 14:11:23,2026-02-21 14:11:23,2026-02-20 14:11:23,Delivered,False,Standard,0.00
138,144,UPS,1Z4671702569904905,2026-07-02 04:48:09,2026-07-06 04:48:09,2026-07-05 04:48:09,Delivered,False,Standard,0.00
139,145,USPS,9400 6245 5526 7193,2025-10-29 05:49:13,2025-11-04 05:49:13,2025-11-03 05:49:13,Delivered,False,Standard,5.99
140,146,UPS,1Z2376561158938482,2025-10-31 16:19:44,2025-11-05 16:19:44,2025-11-04 16:19:44,Delivered,False,Standard,5.99
141,147,UPS,1Z7342551027458731,2025-11-14 11:49:17,2025-11-19 11:49:17,2025-11-18 11:49:17,Delivered,False,Standard,0.00
142,148,FedEx,17431 04482 66008,2025-12-29 00:23:14,2025-12-31 00:23:14,2025-12-30 00:23:14,Delivered,False,Two-Day,0.00
143,149,UPS,1Z5885323845744611,2026-01-13 08:35:24,2026-01-20 08:35:24,2026-01-20 08:35:24,Delivered,False,Standard,0.00
144,150,USPS,9400 9175 3375 7606,2026-02-06 08:37:42,2026-02-09 08:37:42,2026-02-08 08:37:42,Delivered,False,Standard,0.00
145,151,USPS,9400 8347 3337 2092,2026-03-01 12:58:16,2026-03-07 12:58:16,2026-03-07 12:58:16,Delivered,False,Standard,0.00
146,152,FedEx,30432 89405 99604,2026-03-25 03:37:18,2026-03-26 03:37:18,2026-03-25 03:37:18,Delivered,False,Next-Day,0.00
147,153,UPS,1Z4060640526716479,2026-03-30 22:16:50,2026-04-03 22:16:50,2026-04-03 22:16:50,Delivered,False,Standard,0.00
148,154,UPS,1Z1781544072422552,2026-04-05 09:31:41,2026-04-09 09:31:41,2026-04-08 09:31:41,Delivered,False,Standard,0.00
149,155,UPS,1Z8556974826377103,2026-04-11 10:19:21,2026-04-17 10:19:21,2026-04-16 10:19:21,Delivered,False,Standard,0.00
150,156,FedEx,85750 19452 39436,2026-04-15 12:24:46,2026-04-17 12:24:46,2026-04-22 12:24:46,Delivered,True,Two-Day,0.00
151,157,USPS,9400 6758 3212 3688,2026-05-11 20:35:40,2026-05-15 20:35:40,2026-05-15 20:35:40,Delivered,False,Standard,5.99
152,158,UPS,1Z7075190045890586,2026-06-24 09:40:13,2026-06-29 09:40:13,2026-06-28 09:40:13,Delivered,False,Standard,5.99
153,159,USPS,9400 5708 7852 6627,2026-07-06 09:07:03,2026-07-11 09:07:03,2026-07-11 09:07:03,Delivered,False,Standard,5.99
154,160,UPS,1Z9323747304737323,2026-08-18 17:51:52,2026-08-23 17:51:52,2026-08-23 17:51:52,Delivered,False,Standard,5.99
155,161,UPS,1Z6090658616397183,2026-09-03 02:57:44,2026-09-06 02:57:44,,In Transit,False,Standard,5.99
156,162,UPS,1Z3073817062912696,2023-03-08 00:59:47,2023-03-14 00:59:47,2023-03-14 00:59:47,Delivered,False,Standard,0.00
157,163,USPS,9400 1747 9694 1259,2023-03-19 07:12:18,2023-03-24 07:12:18,2023-03-23 07:12:18,Delivered,False,Standard,0.00
158,164,USPS,9400 9219 9345 4957,2023-03-19 15:08:39,2023-03-24 15:08:39,2023-03-23 15:08:39,Delivered,False,Standard,0.00
159,165,USPS,9400 1001 7522 3604,2023-04-09 23:49:29,2023-04-13 23:49:29,2023-04-13 23:49:29,Delivered,False,Standard,0.00
160,166,FedEx,26753 79669 89901,2023-04-30 05:15:07,2023-05-01 05:15:07,2023-04-30 05:15:07,Delivered,False,Next-Day,0.00
161,167,UPS,1Z2098937909948567,2023-05-11 12:41:27,2023-05-13 12:41:27,2023-05-13 12:41:27,Delivered,False,Two-Day,0.00
162,168,FedEx,96836 71318 78174,2023-08-30 16:40:57,2023-09-01 16:40:57,2023-08-31 16:40:57,Delivered,False,Two-Day,0.00
163,169,UPS,1Z9556472484237642,2024-02-19 13:11:30,2024-02-25 13:11:30,2024-02-25 13:11:30,Delivered,False,Standard,0.00
164,170,UPS,1Z3446509828981518,2024-03-15 16:01:57,2024-03-17 16:01:57,2024-03-16 16:01:57,Delivered,False,Two-Day,0.00
165,171,USPS,9400 3464 5287 7632,2024-04-23 15:20:32,2024-04-28 15:20:32,2024-04-28 15:20:32,Delivered,False,Standard,0.00
166,172,USPS,9400 7718 7549 8193,2024-05-08 09:56:29,2024-05-15 09:56:29,2024-05-15 09:56:29,Delivered,False,Standard,0.00
167,173,USPS,9400 9973 6954 5852,2024-06-17 10:42:55,2024-06-22 10:42:55,2024-06-21 10:42:55,Delivered,False,Standard,0.00
168,174,UPS,1Z1030817307169262,2024-08-13 05:06:55,2024-08-18 05:06:55,2024-08-18 05:06:55,Delivered,False,Standard,0.00
169,175,USPS,9400 3453 2658 5796,2024-09-21 17:16:39,2024-09-27 17:16:39,2024-09-27 17:16:39,Delivered,False,Standard,0.00
170,177,UPS,1Z5192153464270976,2025-01-29 03:21:45,2025-02-04 03:21:45,2025-02-04 03:21:45,Delivered,False,Standard,0.00
171,178,USPS,9400 7250 5323 4381,2025-01-31 21:06:11,2025-02-03 21:06:11,2025-02-03 21:06:11,Delivered,False,Standard,0.00
172,179,USPS,9400 1458 6929 1583,2025-07-15 23:39:36,2025-07-19 23:39:36,2025-07-19 23:39:36,Delivered,False,Standard,0.00
173,180,USPS,9400 7419 9128 6192,2025-10-06 17:24:51,2025-10-10 17:24:51,2025-10-09 17:24:51,Delivered,False,Standard,0.00
174,181,UPS,1Z9301683444000629,2025-10-13 00:58:09,2025-10-16 00:58:09,2025-10-16 00:58:09,Delivered,False,Standard,0.00
175,182,USPS,9400 4047 8304 6668,2026-02-24 14:37:38,2026-03-03 14:37:38,2026-03-03 14:37:38,Delivered,False,Standard,0.00
176,183,UPS,1Z5298277432229288,2026-03-13 18:47:46,2026-03-20 18:47:46,2026-03-19 18:47:46,Delivered,False,Standard,0.00
177,184,UPS,1Z8409718335964152,2026-04-10 04:25:34,2026-04-14 04:25:34,2026-04-14 04:25:34,Delivered,False,Standard,0.00
178,185,USPS,9400 6642 8387 9112,2026-06-08 18:37:56,2026-06-14 18:37:56,2026-06-13 18:37:56,Delivered,False,Standard,0.00
179,187,USPS,9400 3698 2100 5743,2025-12-09 05:23:33,2025-12-12 05:23:33,2025-12-12 05:23:33,Delivered,False,Standard,0.00
180,188,UPS,1Z3340855564393788,2026-02-25 22:31:29,2026-03-01 22:31:29,2026-02-28 22:31:29,Delivered,False,Standard,0.00
181,189,USPS,9400 3703 3458 4336,2026-08-20 17:13:35,2026-08-24 17:13:35,2026-08-24 17:13:35,Delivered,False,Standard,0.00
182,190,USPS,9400 4811 3097 9930,2025-02-04 10:03:25,2025-02-11 10:03:25,2025-02-10 10:03:25,Delivered,False,Standard,5.99
183,191,FedEx,51616 38197 10942,2025-03-19 09:09:19,2025-03-21 09:09:19,2025-03-21 09:09:19,Delivered,False,Two-Day,12.99
184,192,FedEx,12338 72291 78454,2025-03-20 15:54:57,2025-03-22 15:54:57,2025-03-22 15:54:57,Delivered,False,Two-Day,12.99
185,193,UPS,1Z5188742138179545,2025-03-23 06:32:07,2025-03-30 06:32:07,2025-03-29 06:32:07,Delivered,False,Standard,0.00
186,194,UPS,1Z6231173223407565,2025-03-30 14:34:50,2025-04-02 14:34:50,2025-04-02 14:34:50,Delivered,False,Standard,0.00
187,195,UPS,1Z5722011243607056,2025-04-09 09:09:58,2025-04-16 09:09:58,2025-04-16 09:09:58,Delivered,False,Standard,0.00
188,196,UPS,1Z8315819589514678,2025-04-19 19:21:11,2025-04-26 19:21:11,2025-04-27 19:21:11,Delivered,True,Standard,5.99
189,197,FedEx,52161 95466 90435,2025-04-30 22:40:01,2025-05-01 22:40:01,2025-04-30 22:40:01,Delivered,False,Next-Day,0.00
