OrderID,CustomerID,OrderDateTime,Subtotal,DiscountRate,DiscountAmount,ShippingMethod,Shipping,Tax,Total
46,2,2025-07-17 17:35:59,185.19,0.10,18.52,Two-Day,0.00,11.67,178.34
47,2,2025-08-17 20:37:20,186.17,0.05,9.31,Standard,0.00,12.38,189.24
48,2,2025-08-27 17:49:03,330.60,0.10,33.06,Standard,0.00,20.83,318.37
49,2,2025-09-12 13:01:54,507.56,0.15,76.13,Standard,0.00,30.20,461.63
50,2,2025-12-17 10:08:24,71.82,0.00,0.00,Standard,5.99,5.45,83.26
51,2,2025-12-20 20:53:25,199.64,0.05,9.98,Standard,0.00,13.28,202.94
52,2,2025-12-22 19:08:46,223.35,0.05,11.17,Standard,0.00,14.85,227.03
53,2,2026-01-07 11:54:10,283.22,0.10,28.32,Standard,0.00,17.84,272.74
54,2,2026-01-09 12:30:59,186.28,0.05,9.31,Standard,0.00,12.39,189.36
55,2,2026-01-15 15:42:39,294.47,0.10,29.45,Standard,0.00,18.55,283.57
56,2,2026-01-25 19:35:41,617.63,0.15,92.64,Standard,0.00,36.75,561.74
57,2,2026-01-25 17:54:28,315.14,0.10,31.51,Standard,0.00,19.85,303.48
58,2,2026-03-01 19:27:18,396.99,0.10,39.70,Standard,0.00,25.01,382.30
59,2,2026-03-03 08:32:03,266.62,0.10,26.66,Standard,0.00,16.80,256.76
60,2,2026-03-05 23:39:42,156.79,0.05,7.84,Standard,0.00,10.43,159.38
61,2,2026-04-04 22:00:30,272.52,0.10,27.25,Standard,0.00,17.17,262.44
62,2,2026-04-30 18:57:36,335.89,0.10,33.59,Standard,0.00,21.16,323.46
63,2,2026-05-11 17:27:31,198.90,0.10,19.89,Standard,0.00,12.53,191.54
64,2,2026-07-07 10:18:49,470.71,0.20,94.14,Standard,0.00,26.36,402.93
65,2,2026-07-27 23:21:22,115.58,0.05,5.78,Standard,5.99,8.11,123.90
66,2,2026-08-07 08:54:40,562.12,0.15,84.32,Two-Day,0.00,33.45,511.25
67,3,2023-04-17 20:05:28,265.60,0.10,26.56,Standard,0.00,16.73,255.77
68,3,2023-07-11 20:04:42,160.10,0.05,8.01,Standard,0.00,10.65,162.74
69,3,2023-07-11 06:14:41,292.23,0.10,29.22,Standard,0.00,18.41,281.42
70,3,2023-08-09 18:21:52,447.93,0.10,44.79,Standard,0.00,28.22,431.36
71,3,2023-08-21 15:40:02,311.72,0.10,31.17,Standard,0.00,19.64,300.19
72,3,2024-04-22 20:17:15,307.95,0.10,30.80,Standard,0.00,19.40,296.55
73,3,2024-04-26 18:18:31,657.81,0.15,98.67,Standard,0.00,39.14,598.28
74,3,2024-06-06 13:27:13,283.22,0.10,28.32,Standard,0.00,17.84,272.74
75,3,2024-09-30 14:35:21,172.53,0.05,8.63,Standard,0.00,11.47,175.37
76,3,2024-11-27 10:39:55,254.27,0.10,25.43,Two-Day,0.00,16.02,244.86
77,3,2024-11-30 21:11:32,142.19,0.05,7.11,Standard,0.00,9.46,144.54
78,3,2025-04-15 23:05:04,122.59,0.05,6.13,Two-Day,12.99,9.06,138.51
79,3,2025-04-30 20:08:22,144.92,0.10,14.49,Standard,0.00,9.13,139.56
80,3,2025-05-09 14:50:06,144.92,0.05,7.25,Standard,0.00,9.64,147.31
81,3,2025-07-12 18:22:03,747.37,0.15,112.11,Standard,0.00,44.47,679.73
82,3,2025-10-26 14:53:18,190.36,0.05,9.52,Standard,0.00,12.66,193.50
83,3,2025-11-30 10:14:53,603.19,0.15,90.48,Standard,0.00,35.89,548.60
84,3,2025-12-17 22:22:18,704.71,0.15,105.71,Standard,0.00,41.93,640.93
85,3,2026-04-14 14:06:17,181.35,0.05,9.07,Standard,0.00,12.06,184.34
86,3,2026-05-26 16:24:54,335.89,0.10,33.59,Two-Day,0.00,21.16,323.46
87,3,2026-07-05 20:11:29,378.32,0.10,37.83,Standard,0.00,23.83,364.32
88,3,2026-07-12 09:26:48,245.74,0.05,12.29,Standard,0.00,16.34,249.79
89,4,2024-08-24 12:49:04,348.56,0.10,34.86,Two-Day,0.00,21.96,335.66
90,4,2024-08-30 08:30:07,485.44,0.10,48.54,Standard,0.00,30.58,467.48
91,4,2024-09-21 13:45:12,132.97,0.05,6.65,Two-Day,0.00,8.84,135.16
92,4,2024-09-23 14:31:15,231.60,0.05,11.58,Two-Day,0.00,15.40,235.42
93,4,2024-10-17 08:30:50,254.35,0.10,25.44,Standard,0.00,16.02,244.93
94,4,2025-02-03 14:36:37,144.92,0.05,7.25,Standard,0.00,9.64,147.31
95,4,2025-02-22 15:30:12,113.18,0.05,5.66,Standard,5.99,7.95,121.46
96,4,2025-02-23 20:39:23,303.74,0.10,30.37,Two-Day,0.00,19.14,292.51
97,4,2025-03-09 13:14:05,389.22,0.10,38.92,Standard,0.00,24.52,374.82
98,4,2025-03-22 03:15:40,181.35,0.05,9.07,Standard,0.00,12.06,184.34
99,4,2025-03-23 20:34:27,293.57,0.10,29.36,Two-Day,0.00,18.49,282.70
100,4,2025-05-02 19:33:49,257.96,0.10,25.80,Standard,0.00,16.25,248.41
101,4,2025-06-25 14:21:38,36.22,0.10,3.62,Standard,5.99,2.70,41.29
102,4,2025-08-10 12:09:14,53.55,0.00,0.00,Standard,5.99,4.17,63.71
103,4,2025-10-25 01:50:30,512.66,0.15,76.90,Standard,0.00,30.50,466.26
104,4,2025-11-04 20:24:48,336.98,0.10,33.70,Standard,0.00,21.23,324.51
105,4,2025-11-17 15:20:15,194.92,0.05,9.75,Standard,0.00,12.96,198.13
106,4,2025-12-22 15:46:31,35.60,0.20,7.12,Standard,5.99,2.41,36.88
107,4,2026-02-04 19:04:27,568.95,0.15,85.34,Two-Day,0.00,33.85,517.46
108,4,2026-02-09 04:12:07,28.75,0.00,0.00,Standard,5.99,2.43,37.17
109,4,2026-02-23 09:49:39,292.43,0.10,29.24,Standard,0.00,18.42,281.61
110,4,2026-03-06 23:19:16,821.75,0.15,123.26,Standard,0.00,48.89,747.38
111,4,2026-04-04 09:12:34,390.32,0.10,39.03,Standard,0.00,24.59,375.88
112,4,2026-04-12 21:19:21,156.83,0.05,7.84,Standard,0.00,10.43,159.42
113,4,2026-04-16 20:03:15,418.22,0.10,41.82,Standard,0.00,26.35,402.75
114,4,2026-05-11 09:45:17,32.60,0.00,0.00,Standard,5.99,2.70,41.29
115,4,2026-06-05 08:16:27,163.53,0.10,16.35,Standard,0.00,10.30,157.48
116,5,2023-07-05 17:55:08,649.92,0.15,97.49,Standard,0.00,38.67,591.10
117,5,2023-07-12 16:57:39,191.86,0.05,9.59,Two-Day,0.00,12.76,195.03
118,5,2023-08-28 10:40:00,96.70,0.00,0.00,Standard,5.99,7.19,109.88
119,5,2023-08-29 15:17:05,181.35,0.05,9.07,Standard,0.00,12.06,184.34
120,5,2024-05-30 09:52:42,201.70,0.05,10.09,Standard,0.00,13.41,205.02
121,5,2024-07-16 19:32:53,96.75,0.00,0.00,Two-Day,12.99,7.68,117.42
122,5,2024-09-22 10:08:40,258.37,0.10,25.84,Standard,0.00,16.28,248.81
123,5,2024-12-11 16:18:20,91.14,0.00,0.00,Standard,5.99,6.80,103.93
124,5,2025-03-01 21:27:27,44.40,0.00,0.00,Standard,5.99,3.53,53.92
125,5,2025-03-05 20:54:17,292.26,0.10,29.23,Standard,0.00,18.41,281.44
126,5,2025-03-26 18:57:44,255.92,0.20,51.18,Standard,0.00,14.33,219.07
127,5,2025-09-24 20:51:48,914.76,0.15,137.21,Standard,0.00,54.43,831.98
128,5,2025-10-20 04:37:35,360.51,0.10,36.05,Next-Day,0.00,22.71,347.17
129,5,2026-01-11 07:09:04,202.61,0.05,10.13,Standard,0.00,13.47,205.95
130,5,2026-02-27 22:44:05,331.81,0.20,66.36,Standard,0.00,18.58,284.03
131,5,2026-04-19 16:16:41,21.89,0.00,0.00,Standard,5.99,1.95,29.83
132,5,2026-04-25 20:57:29,725.96,0.15,108.89,Two-Day,0.00,43.19,660.26
133,5,2026-05-19 22:18:16,128.56,0.05,6.43,Standard,5.99,8.97,137.09
134,5,2026-07-07 20:03:03,528.34,0.20,105.67,Two-Day,0.00,29.59,452.26
135,5,2026-07-08 12:43:15,430.77,0.10,43.08,Two-Day,0.00,27.14,414.83
136,5,2026-08-21 18:42:10,99.45,0.00,0.00,Two-Day,12.99,7.87,120.31
137,6,2024-07-06 19:26:19,856.60,0.15,128.49,Standard,0.00,50.97,779.08
138,6,2025-03-21 14:19:40,779.09,0.15,116.86,Standard,0.00,46.36,708.59
139,6,2025-04-06 12:43:40,116.62,0.05,5.83,Standard,5.99,8.17,124.95
140,6,2025-04-24 18:55:02,139.18,0.05,6.96,Next-Day,0.00,9.26,141.48
141,6,2026-05-09 17:13:19,259.63,0.10,25.96,Standard,0.00,16.36,250.03
142,7,2025-11-13 18:39:37,190.36,0.05,9.52,Two-Day,0.00,12.66,193.50
143,7,2026-02-16 21:09:54,291.25,0.10,29.13,Standard,0.00,18.35,280.47
144,7,2026-07-01 12:46:30,459.72,0.10,45.97,Standard,0.00,28.96,442.71
145,8,2025-10-27 18:48:28,104.50,0.05,5.23,Standard,5.99,7.37,112.63
146,8,2025-10-30 06:18:35,44.40,0.00,0.00,Standard,5.99,3.53,53.92
147,8,2025-11-13 11:48:22,143.01,0.05,7.15,Standard,0.00,9.51,145.37
148,8,2025-12-28 09:22:58,197.75,0.10,19.78,Two-Day,0.00,12.46,190.43
149,8,2026-01-11 13:34:32,282.42,0.10,28.24,Standard,0.00,17.79,271.97
150,8,2026-02-04 13:36:37,335.89,0.10,33.59,Standard,0.00,21.16,323.46
151,8,2026-02-28 08:57:54,422.82,0.10,42.28,Standard,0.00,26.64,407.18
152,8,2026-03-24 18:36:48,212.99,0.05,10.65,Next-Day,0.00,14.16,216.50
153,8,2026-03-29 21:14:59,517.50,0.15,77.63,Standard,0.00,30.79,470.66
154,8,2026-04-03 11:29:43,425.49,0.10,42.55,Standard,0.00,26.81,409.75
155,8,2026-04-10 21:17:47,216.64,0.05,10.83,Standard,0.00,14.41,220.22
156,8,2026-04-14 17:22:50,202.61,0.05,10.13,Two-Day,0.00,13.47,205.95
157,8,2026-05-09 20:35:21,103.48,0.05,5.17,Standard,5.99,7.30,111.60
158,8,2026-06-22 10:38:48,32.60,0.00,0.00,Standard,5.99,2.70,41.29
159,8,2026-07-05 19:06:07,70.70,0.00,0.00,Standard,5.99,5.37,82.06
160,8,2026-08-17 19:50:53,85.72,0.00,0.00,Standard,5.99,6.42,98.13
161,8,2026-09-01 07:56:03,96.70,0.00,0.00,Standard,5.99,7.19,109.88
162,9,2023-03-06 21:57:48,334.72,0.10,33.47,Standard,0.00,21.09,322.34
163,9,2023-03-16 19:41:57,364.29,0.10,36.43,Standard,0.00,22.95,350.81
164,9,2023-03-18 15:08:22,137.21,0.05,6.86,Standard,0.00,9.12,139.47
165,9,2023-04-08 22:48:50,582.72,0.15,87.41,Standard,0.00,34.67,529.98
166,9,2023-04-29 17:13:53,362.61,0.10,36.26,Next-Day,0.00,22.84,349.19
167,9,2023-05-10 18:40:01,101.07,0.05,5.05,Two-Day,0.00,6.72,102.74
168,9,2023-08-30 09:40:42,154.88,0.05,7.74,Two-Day,0.00,10.30,157.44
169,9,2024-02-18 21:09:41,301.58,0.10,30.16,Standard,0.00,19.00,290.42
170,9,2024-03-14 16:00:03,659.73,0.15,98.96,Two-Day,0.00,39.25,600.02
171,9,2024-04-21 21:18:51,238.17,0.05,11.91,Standard,0.00,15.84,242.10
172,9,2024-05-07 20:55:39,291.23,0.10,29.12,Standard,0.00,18.35,280.46
173,9,2024-06-15 16:42:41,352.20,0.10,35.22,Standard,0.00,22.19,339.17
174,9,2024-08-11 16:04:57,174.75,0.05,8.74,Standard,0.00,11.62,177.63
175,9,2024-09-21 01:16:33,372.34,0.10,37.23,Standard,0.00,23.46,358.57
176,9,2024-11-21 12:17:50,293.57,0.10,29.36,Standard,0.00,18.49,282.70
177,9,2025-01-28 14:21:33,189.06,0.05,9.45,Standard,0.00,12.57,192.18
178,9,2025-01-30 22:04:20,279.83,0.20,55.97,Standard,0.00,15.67,239.53
179,9,2025-07-14 20:39:15,353.25,0.10,35.33,Standard,0.00,22.25,340.17
180,9,2025-10-05 22:24:09,53.06,0.20,10.61,Standard,0.00,2.97,45.42
181,9,2025-10-12 09:56:15,96.75,0.10,9.68,Standard,0.00,6.09,93.16
182,9,2026-02-23 19:36:22,169.76,0.05,8.49,Standard,0.00,11.29,172.56
183,9,2026-03-12 11:43:19,373.60,0.10,37.36,Standard,0.00,23.54,359.78
184,9,2026-04-09 14:23:44,202.81,0.05,10.14,Standard,0.00,13.49,206.16
185,9,2026-06-07 21:36:57,181.78,0.05,9.09,Standard,0.00,12.09,184.78
186,9,2026-08-28 20:00:23,247.51,0.05,12.38,Standard,0.00,16.46,251.59
187,10,2025-12-08 17:23:03,154.80,0.05,7.74,Standard,0.00,10.29,157.35
188,10,2026-02-24 09:29:38,293.60,0.10,29.36,Standard,0.00,18.50,282.74
189,10,2026-08-19 07:11:42,347.40,0.10,34.74,Standard,0.00,21.89,334.55
190,11,2025-02-02 13:02:31,122.21,0.05,6.11,Standard,5.99,8.55,130.64
191,11,2025-03-19 01:08:49,37.14,0.00,0.00,Two-Day,12.99,3.51,53.64
192,11,2025-03-20 05:54:35,113.18,0.10,11.32,Two-Day,12.99,8.04,122.89
193,11,2025-03-22 12:30:23,205.85,0.05,10.29,Standard,0.00,13.69,209.25
194,11,2025-03-28 21:33:32,283.22,0.10,28.32,Standard,0.00,17.84,272.74
195,11,2025-04-07 09:09:30,167.10,0.05,8.36,Standard,0.00,11.11,169.85
196,11,2025-04-18 09:19:32,53.06,0.00,0.00,Standard,5.99,4.13,63.18
197,11,2025-04-30 12:39:14,251.66,0.20,50.33,Next-Day,0.00,14.09,215.42
198,11,2025-07-18 21:31:32,201.70,0.05,10.09,Standard,0.00,13.41,205.02
199,11,2025-08-08 21:32:30,80.05,0.00,0.00,Standard,5.99,6.02,92.06
200,11,2025-08-13 16:42:59,109.71,0.05,5.49,Standard,5.99,7.71,117.92
201,11,2025-08-14 15:17:03,339.45,0.10,33.95,Two-Day,0.00,21.39,326.89
202,11,2025-09-01 23:14:34,291.23,0.10,29.12,Standard,0.00,18.35,280.46
203,11,2025-09-14 14:30:44,776.89,0.15,116.53,Next-Day,0.00,46.23,706.59
204,11,2025-09-16 14:29:58,166.96,0.10,16.70,Standard,0.00,10.52,160.78
205,11,2025-11-17 01:12:55,318.47,0.10,31.85,Standard,0.00,20.06,306.68
206,11,2025-11-19 15:40:52,396.61,0.10,39.66,Standard,0.00,24.99,381.94
207,11,2025-11-22 10:36:52,29.60,0.10,2.96,Standard,5.99,2.28,34.91
208,11,2025-12-12 14:30:52,1188.85,0.15,178.33,Standard,0.00,70.74,1081.26
209,11,2026-01-09 10:21:30,107.42,0.10,10.74,Standard,5.99,7.19,109.86
210,11,2026-01-11 16:11:12,156.83,0.05,7.84,Standard,0.00,10.43,159.42
211,11,2026-01-23 18:17:57,169.58,0.05,8.48,Standard,0.00,11.28,172.38
212,11,2026-02-01 17:29:59,649.56,0.15,97.43,Standard,0.00,38.65,590.78
213,11,2026-02-17 05:34:14,29.39,0.20,5.88,Standard,5.99,2.07,31.57
214,11,2026-02-21 12:27:09,290.17,0.10,29.02,Standard,0.00,18.28,279.43
215,11,2026-03-06 13:39:23,285.76,0.10,28.58,Standard,0.00,18.00,275.18
216,11,2026-04-05 18:25:19,613.31,0.15,92.00,Standard,0.00,36.49,557.80
217,11,2026-04-14 12:17:34,382.69,0.10,38.27,Standard,0.00,24.11,368.53
218,11,2026-04-15 20:50:31,642.72,0.15,96.41,Standard,0.00,38.24,584.55
219,11,2026-04-24 14:40:18,92.91,0.10,9.29,Standard,5.99,6.27,95.88
220,11,2026-05-23 13:46:36,156.79,0.05,7.84,Standard,0.00,10.43,159.38
221,11,2026-05-28 12:32:34,485.03,0.10,48.50,Standard,0.00,30.56,467.09
222,11,2026-05-28 11:32:48,99.45,0.00,0.00,Standard,5.99,7.38,112.82
223,11,2026-05-28 19:34:37,704.39,0.15,105.66,Standard,0.00,41.91,640.64
224,11,2026-06-25 20:58:33,42.50,0.00,0.00,Standard,5.99,3.39,51.88
225,11,2026-07-01 21:47:03,107.82,0.05,5.39,Standard,5.99,7.59,116.01
226,11,2026-07-09 17:12:10,288.66,0.10,28.87,Standard,0.00,18.19,277.98
227,11,2026-07-31 03:38:24,53.06,0.00,0.00,Standard,5.99,4.13,63.18
228,11,2026-08-01 12:46:33,243.46,0.05,12.17,Standard,0.00,16.19,247.48
229,11,2026-08-14 19:04:30,448.13,0.10,44.81,Standard,0.00,28.23,431.55
230,11,2026-08-25 20:52:22,168.66,0.05,8.43,Two-Day,0.00,11.22,171.45
231,11,2026-08-29 22:52:21,683.39,0.15,102.51,Standard,0.00,40.66,621.54
232,12,2026-02-15 18:48:22,190.36,0.20,38.07,Standard,0.00,10.66,162.95
233,12,2026-03-29 12:58:20,53.06,0.00,0.00,Standard,5.99,4.13,63.18
234,12,2026-07-02 04:01:48,328.73,0.10,32.87,Next-Day,0.00,20.71,316.57
235,13,2023-09-11 16:44:50,284.99,0.10,28.50,Standard,0.00,17.95,274.44
236,13,2024-04-12 20:03:42,80.05,0.00,0.00,Standard,5.99,6.02,92.06
237,13,2024-08-31 10:33:30,124.35,0.05,6.22,Standard,5.99,8.69,132.81
238,13,2025-04-12 22:15:08,44.40,0.00,0.00,Standard,5.99,3.53,53.92
239,13,2026-08-03 18:55:58,36.00,0.00,0.00,Standard,5.99,2.94,44.93
240,14,2024-06-24 05:45:55,200.51,0.05,10.03,Two-Day,0.00,13.33,203.81
241,14,2024-06-24 18:32:52,607.67,0.15,91.15,Standard,0.00,36.16,552.68
242,14,2024-08-13 13:47:55,124.35,0.05,6.22,Standard,5.99,8.69,132.81
243,14,2024-10-10 14:17:14,638.49,0.15,95.77,Standard,0.00,37.99,580.71
244,14,2024-11-15 22:24:01,78.00,0.00,0.00,Standard,5.99,5.88,89.87
245,14,2025-05-01 11:08:47,106.09,0.05,5.30,Standard,5.99,7.47,114.25
246,14,2025-09-15 17:41:07,227.88,0.05,11.39,Standard,0.00,15.15,231.64
247,14,2025-09-24 21:28:46,296.01,0.20,59.20,Standard,0.00,16.58,253.39
248,14,2025-09-29 21:00:27,106.09,0.05,5.30,Standard,5.99,7.47,114.25
249,14,2025-11-14 21:02:44,340.51,0.20,68.10,Two-Day,0.00,19.07,291.48
250,14,2025-12-17 17:45:29,28.75,0.00,0.00,Two-Day,12.99,2.92,44.66
251,14,2026-05-11 01:42:24,471.82,0.10,47.18,Standard,0.00,29.72,454.36
252,14,2026-05-13 18:41:44,294.98,0.10,29.50,Two-Day,0.00,18.58,284.06
253,14,2026-05-17 13:54:14,127.09,0.05,6.35,Two-Day,12.99,9.36,143.09
254,14,2026-07-25 07:07:56,106.09,0.05,5.30,Standard,5.99,7.47,114.25
255,15,2023-06-01 23:49:00,143.01,0.10,14.30,Standard,0.00,9.01,137.72
256,15,2023-08-03 15:25:51,375.92,0.10,37.59,Standard,0.00,23.68,362.01
257,15,2023-08-13 20:46:24,175.55,0.05,8.78,Two-Day,0.00,11.67,178.44
258,15,2023-09-12 19:34:24,239.71,0.10,23.97,Standard,0.00,15.10,230.84
259,15,2024-02-01 19:10:28,844.50,0.15,126.68,Standard,0.00,50.25,768.07
260,15,2024-02-09 15:38:16,359.44,0.10,35.94,Two-Day,0.00,22.65,346.15
261,15,2024-07-18 18:30:27,198.20,0.05,9.91,Next-Day,0.00,13.18,201.47
262,15,2024-08-21 12:55:20,181.61,0.20,36.32,Two-Day,0.00,10.17,155.46
263,15,2024-10-07 22:57:39,358.45,0.10,35.85,Two-Day,0.00,22.58,345.18
264,15,2024-12-19 17:08:14,382.59,0.10,38.26,Standard,0.00,24.10,368.43
265,15,2025-01-18 12:41:07,641.94,0.15,96.29,Standard,0.00,38.20,583.85
266,15,2025-02-03 16:48:51,252.05,0.10,25.21,Standard,0.00,15.88,242.72
267,15,2025-02-21 13:54:08,280.32,0.10,28.03,Standard,0.00,17.66,269.95
268,15,2025-03-16 11:57:13,153.76,0.05,7.69,Standard,0.00,10.22,156.29
269,15,2025-05-31 16:57:43,33.32,0.00,0.00,Standard,5.99,2.75,42.06
270,15,2025-07-29 11:25:31,221.76,0.20,44.35,Standard,0.00,12.42,189.83
271,15,2025-09-05 10:03:02,404.21,0.10,40.42,Standard,0.00,25.47,389.26
272,15,2025-11-16 11:08:58,275.35,0.10,27.54,Two-Day,0.00,17.35,265.16
273,15,2026-01-16 17:16:07,253.44,0.20,50.69,Two-Day,0.00,14.19,216.94
274,15,2026-05-06 19:22:05,79.40,0.00,0.00,Standard,5.99,5.98,91.37
275,15,2026-06-14 10:31:19,294.75,0.10,29.48,Standard,0.00,18.57,283.84
276,15,2026-06-19 12:09:38,274.42,0.10,27.44,Standard,0.00,17.29,264.27
277,15,2026-07-09 05:00:12,124.46,0.05,6.22,Standard,5.99,8.70,132.93
278,15,2026-08-11 13:55:10,126.35,0.05,6.32,Two-Day,12.99,9.31,142.33
279,16,2024-06-03 17:37:43,169.14,0.05,8.46,Standard,0.00,11.25,171.93
280,16,2024-08-27 09:42:09,104.50,0.05,5.23,Next-Day,24.99,8.70,132.96
281,16,2024-09-25 14:51:46,223.44,0.05,11.17,Standard,0.00,14.86,227.13
282,16,2024-11-07 00:13:03,78.00,0.00,0.00,Two-Day,12.99,6.37,97.36
283,16,2024-12-30 15:54:48,770.11,0.15,115.52,Two-Day,0.00,45.82,700.41
284,16,2025-02-03 18:22:41,280.73,0.10,28.07,Standard,0.00,17.69,270.35
285,16,2025-02-21 20:39:56,111.68,0.05,5.58,Standard,5.99,7.85,119.94
286,16,2025-03-17 16:42:07,60.31,0.00,0.00,Standard,5.99,4.64,70.94
287,16,2025-03-17 20:10:12,237.72,0.05,11.89,Standard,0.00,15.81,241.64
288,16,2025-05-14 10:52:07,329.53,0.10,32.95,Standard,0.00,20.76,317.34
289,16,2025-05-22 18:01:52,124.95,0.05,6.25,Standard,5.99,8.73,133.42
290,16,2025-07-26 10:34:45,136.26,0.05,6.81,Two-Day,0.00,9.06,138.51
291,16,2025-07-29 17:11:43,53.55,0.00,0.00,Two-Day,12.99,4.66,71.20
292,16,2025-09-12 19:23:25,256.31,0.10,25.63,Standard,0.00,16.15,246.83
293,16,2025-11-07 11:43:05,212.18,0.05,10.61,Standard,0.00,14.11,215.68
294,16,2025-11-17 23:18:57,236.92,0.20,47.38,Standard,0.00,13.27,202.81
295,16,2025-11-25 03:10:46,461.79,0.10,46.18,Two-Day,0.00,29.09,444.70
296,16,2026-01-04 15:26:04,712.68,0.15,106.90,Two-Day,0.00,42.40,648.18
297,16,2026-01-13 15:31:34,560.06,0.15,84.01,Two-Day,0.00,33.32,509.37
298,16,2026-01-15 22:10:52,156.83,0.05,7.84,Standard,0.00,10.43,159.42
299,16,2026-02-11 18:32:37,281.33,0.10,28.13,Standard,0.00,17.72,270.92
300,16,2026-02-23 11:08:14,177.11,0.05,8.86,Standard,0.00,11.78,180.03
301,16,2026-03-14 12:23:16,33.32,0.10,3.33,Standard,5.99,2.52,38.50
302,16,2026-03-31 09:09:48,127.09,0.10,12.71,Standard,5.99,8.43,128.80
303,16,2026-05-11 19:42:42,171.19,0.05,8.56,Standard,0.00,11.38,174.01
304,16,2026-07-26 07:30:43,291.45,0.10,29.15,Standard,0.00,18.36,280.66
305,16,2026-07-26 16:07:59,111.09,0.05,5.55,Standard,5.99,7.81,119.34
